month,python,machine-learning,pandas
2009-01-01,631,8,0
2009-02-01,633,4,0
2009-03-01,766,3,0
2009-04-01,768,10,0
2009-05-01,1003,7,0
2009-06-01,1046,8,0
2009-07-01,1165,6,0
2009-08-01,1143,8,0
2009-09-01,1169,2,0
2009-10-01,1424,11,0
2009-11-01,1562,18,0
2009-12-01,1552,11,0
2010-01-01,1952,22,0
2010-02-01,1872,19,0
2010-03-01,2076,30,0
2010-04-01,1817,27,0
2010-05-01,2017,35,0
2010-06-01,2214,28,0
2010-07-01,2607,23,0
2010-08-01,2498,22,0
2010-09-01,2254,22,0
2010-10-01,2671,23,0
2010-11-01,2619,34,0
2010-12-01,2441,17,0
2011-01-01,2913,27,0
2011-02-01,3024,28,0
2011-03-01,3763,41,1
2011-04-01,3359,44,2
2011-05-01,3538,26,0
2011-06-01,3485,37,1
2011-07-01,3688,45,0
2011-08-01,3849,33,0
2011-09-01,3526,54,1
2011-10-01,3639,59,4
2011-11-01,3889,54,2
2011-12-01,3555,60,1
2012-01-01,4232,71,6
2012-02-01,4517,62,4
2012-03-01,5073,63,29
2012-04-01,4948,85,26
2012-05-01,5133,90,44
2012-06-01,5295,83,50
2012-07-01,5751,90,66
2012-08-01,5882,123,88
2012-09-01,5273,81,93
2012-10-01,6154,83,103
2012-11-01,6408,110,120
2012-12-01,5636,103,120
2013-01-01,6605,113,156
2013-02-01,6793,72,187
2013-03-01,7680,137,173
2013-04-01,7975,115,190
2013-05-01,7862,116,226
2013-06-01,7640,114,246
2013-07-01,8656,129,289
2013-08-01,7974,115,283
2013-09-01,7999,116,241
2013-10-01,9539,138,358
2013-11-01,9546,151,355
2013-12-01,8306,194,324
2014-01-01,9892,159,451
2014-02-01,9951,160,407
2014-03-01,11483,168,528
2014-04-01,10839,169,494
2014-05-01,9330,137,463
2014-06-01,8967,131,463
2014-07-01,9999,133,485
2014-08-01,9170,101,481
2014-09-01,8829,128,490
2014-10-01,9651,172,488
2014-11-01,9652,131,515
2014-12-01,8886,147,409
2015-01-01,9757,184,485
2015-02-01,10264,158,537
2015-03-01,11685,185,675
2015-04-01,11522,239,707
2015-05-01,11286,257,672
2015-06-01,11887,203,772
2015-07-01,12392,231,862
2015-08-01,11296,215,756
2015-09-01,11040,182,805
2015-10-01,12578,238,946
2015-11-01,12384,252,900
2015-12-01,11446,278,876
2016-01-01,12439,343,913
2016-02-01,13334,349,1040
2016-03-01,14173,383,1116
2016-04-01,13775,403,1201
2016-05-01,13207,429,1280
2016-06-01,13009,372,1283
2016-07-01,12943,404,1472
2016-08-01,13006,392,1375
2016-09-01,12424,342,1316
2016-10-01,13616,440,1350
2016-11-01,14296,466,1504
2016-12-01,12889,424,1406
2017-01-01,14388,491,1540
2017-02-01,14901,488,1567
2017-03-01,17280,605,1989
2017-04-01,15752,552,1840
2017-05-01,16291,528,1923
2017-06-01,16173,613,1986
2017-07-01,17064,748,2084
2017-08-01,17472,704,2170
2017-09-01,16949,604,2043
2017-10-01,18735,674,2305
2017-11-01,18935,630,2289
2017-12-01,16207,532,1950
2018-01-01,16307,555,2190
2018-02-01,16393,596,2216
2018-03-01,17970,725,2671
2018-04-01,17030,777,2485
2018-05-01,17639,670,2580
2018-06-01,16860,549,2694
2018-07-01,17988,667,2991
2018-08-01,17874,595,2915
2018-09-01,16158,456,2542
2018-10-01,18329,561,2895
2018-11-01,18215,547,2921
2018-12-01,15537,534,2389
2019-01-01,17167,508,2831
2019-02-01,17749,539,2976
2019-03-01,20144,572,3300
2019-04-01,20054,621,3249
2019-05-01,19128,763,3216
2019-06-01,17515,540,2942
2019-07-01,20041,620,3535
2019-08-01,20257,583,3675
2019-09-01,19207,538,3298
2019-10-01,23414,750,4098
2019-11-01,23602,918,3873
2019-12-01,20058,983,3519
